9918	2
396	4
12153	4
27066	6
28786	7
26078	9
22250	9
2367	12
21206	13
15570	14
13946	17
13061	19
4631	21
30857	22
3856	27
9698	35
19757	35
26167	36
29110	37
29669	50
16528	54
14312	67
6322	69
12385	74
18955	77
2040	77
9978	78
8329	79
32748	84
450	87
11744	88
16723	92
920	94
5447	96
12931	104
27737	105
12444	107
8432	109
32149	110
12964	110
31477	112
15435	114
6199	124
16929	127
15609	127
18259	138
20580	149
3483	150
6960	152
2182	152
27356	152
22391	153
3293	156
22360	159
25954	166
10034	170
28038	172
320	176
12563	182
19923	183
13121	185
25822	190
6749	192
10737	195
14603	195
73	196
24029	201
12547	202
28371	203
540	207
5394	208
19207	210
17192	210
17477	211
13911	215
10939	216
22077	219
32488	222
2367	225
7651	226
21915	229
30514	233
14640	247
8755	258
13579	263
14240	264
27224	265
19504	274
8171	278
24579	281
24268	284
13532	289
4668	293
8023	294
25152	308
3116	308
1493	310
3633	311
2601	311
12589	315
18261	316
12030	317
2334	325
26218	326
18712	326
30472	342
24774	342
24275	343
11764	345
26565	347
30434	349
13598	353
10705	368
1009	369
6376	369
18292	370
2077	372
23240	379
26554	380
26513	385
31879	386
16362	386
26128	389
6770	391
23142	391
16662	392
23312	405
9318	405
10898	410
20493	412
1097	413
8089	414
20575	420
12881	421
21054	424
21505	425
6139	427
19208	431
2746	432
25573	433
19239	434
27564	436
6465	443
11512	451
26060	453
5093	457
9200	465
28073	466
28265	470
11250	476
19763	476
17550	477
8226	479
13907	485
25886	486
14677	487
10706	493
4321	494
133	497
2437	499
15292	499
5512	502
17770	503
275	505
6142	512
25613	517
27074	519
20724	523
23745	526
22847	535
17348	536
25613	540
18656	546
21092	558
30114	559
252	563
14408	567
16996	576
23640	579
24879	583
9048	583
29772	585
4551	589
3463	590
17226	597
26243	599
20493	603
24073	610
30562	617
23571	622
7856	627
21327	631
16257	633
8728	639
28100	648
7291	648
30841	651
30957	655
14723	662
15704	663
16627	665
19846	667
14802	667
20968	668
10652	669
19873	669
13336	671
12792	675
6751	678
2852	685
21128	687
20787	689
22409	702
29710	706
31363	708
7312	719
14601	732
24723	737
11196	740
19924	741
25394	742
14041	747
29043	751
10798	753
23845	756
3646	759
24367	771
23426	775
26650	776
19577	780
32565	783
2817	784
4466	784
29386	785
27147	790
29821	801
20412	807
10483	815
14653	816
20667	822
7832	825
16494	829
17160	832
10072	837
3502	845
32730	854
25119	855
585	855
22632	862
15558	863
21726	866
2733	869
5772	870
8066	872
729	873
19497	873
32611	877
30311	888
12442	892
16467	892
11093	893
24988	896
29862	901
22589	901
16551	914
955	915
7289	919
29101	924
20731	925
6404	927
20223	927
17357	928
32660	929
6052	931
8327	934
9933	937
20684	938
8542	943
32352	945
9232	945
21938	946
16138	954
6885	956
14000	956
19224	961
20730	969
11869	974
18353	980
9646	983
24724	984
27905	985
26849	986
13135	986
17280	987
25366	987
29293	995
1945	995
32521	1000
9723	1008
9353	1008
17735	1010
6538	1015
25530	1019
17334	1021
